source	name	info	link	lat	long	country	EU_region	typeOPB	typeDOPB	typeBfO	typeCB_OS	type_other	crop_arable	crop_forage	crop_vegetable	crop_fruit_grape	crop_other
ECO-PB	Centre for Agricultural Research -MTA-ATK	MTA ATK (Centre for Agricultural Research, Hungarian Academy of Sciences) located in Martonvásár (30 km southwest from Budapest, Hungary) has great achievements in the field of wheat and maize breeding dealing also with variety maintenance and prebasic sowing seed propagation. MTA ATK has more than 60 years’ expertise in cereal breeding, and launched its organic breeding activities in 2004 based mainly on bread wheat, ancient cereal species (einkorn and emmer) and cereal populations. Beside the breeding work, MTA ATK is running performance trials on maize, forage crops and cereal-legume mixtures on its 6 ha certified organic field. In the case of ancient cereals, MTA ATK runs fully organic breeding program, while in other cases advanced breeding lines and test maize hybrids are tested in organic field (breeding for organic agriculture).	http://www.mta-atk.hu/en	47.316105	18.7856200	Hungary	EE	OPB	NOT	BfO	NOT	NOT	arable	NOT	NOT	NOT	NOT
Survey	Centro de Educación Ambiental de la Comunitat Valenciana	El Centro de Educación Ambiental de la Comunitat Valenciana, situado en el entorno de la Marjal dels Moros, zona húmeda perteneciente a la Red Europea Natura 2000, dispone de un huerto histórico certificado en agricultura ecológica con finalidades educativas y didácticas. Este huerto, de aproximadamente 1 hectárea de superficie, está subdividido en 48 pequeñas parcelas donde se cultivan diferentes variedades.	http://www.agroambient.gva.es/es/web/ceacv/ceacv	NA	NA	Spain	SE	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
Survey	CICYTEX (Centro de Investigaciones Científicas y Tecnológicas de Extremadura)	Evaluation of fruit cultivars under organic conditions. Cherry, berries, figs.	http://cicytex.juntaex.es/en/	38.850735	-6.6729233	Spain	SE	NOT	NOT	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
Survey	Cornell University	Eastern Broccoli Project	easternbroccoli.org	NA	NA	USA	NA	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
LIVESEED	Council for Agricultural Research and Agricultural Economy Analysis - CREA ZA  (Lodi)	CREA's research centre for Animal Production and Aquaculture, based in Lodi, is reponsible for breeding programmes of pea, white lupin, soybean and alfalfa targeted to organic and conventional systems of Italy.  Its research work focuses, inter alia, on genetic resource exploitation, participatory plant breeding, evolutionary selection and other innovative selection schemes, breeding for intercropping, and genomic selection	https://www.crea.gov.it/en/web/zootecnia-e-acquacoltura 	45.3097712	9.5125024	Italy	SE	NOT	NOT	BfO	NOT	NOT	arable	NOT	NOT	NOT	NOT
LIVESEED	Council for Agricultural Research and Agricultural Economy Analysis - CREA Monsampolo del Tronto	Works on participatory tomato breeding.	https://www.crea.gov.it/web/orticoltura-e-florovivaismo/aziende-sperimentali	42.883118	13.7967080	Italy	SE	NOT	NOT	BfO	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
Demeter Organic plant breeding 	Culinaris - Saatgut für Lebensmittel 	Culinaris is an organic seed breeding initiative offering a carefully curated selection of varieties that thrive under low-input conditions, including homestead and hobby gardens. Varieties include rarities and entirely new selections, some of them were developed in the context of research projects. A key area of the breeding work is the development of outdoor tomatoes varieties.	https://culinaris-saatgut.de/en/	51.5246033	9.9255213	Germany	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
Demeter Organic plant breeding 	De Beersche Hoeve	Most cauliflower varieties used in professional gardening nowadays are hybrids, many bred with CMS technology (Cytoplasmatic male sterility). René Groenen is working on the alternative: Open pollinated cauliflower varieties for professional organic gardening. Since 2000, Groenen is full time dedicated to the propagation of vegetable seeds and breeding of varieties	https://www.debeerschehoeve.nl/	51.4790015	5.2561052	Netherlands	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
ECO-PB	De Bolster	Sells a wide range of organic vegetable seeds and is active in the development of vegetable varieties for professional growers, mostly F1-hybrids	https://www.bolster.eu/en/	52.345579	6.0057832	Netherlands	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
Eucarpia symposium	De Zaderij	A newly established cooperative of farmers producing and developing seed of Open Pollinated vegetable varieties.	http://www.zaderij.nl/	52.7679021	5.7338947	Netherlands	CE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
Demeter	Dottenfelderhof	In our research and breeding department, agriculture operations and farm school work together on the fundamentals of agriculture. One focus is the breeding of biodynamic seeds.	http://www.dottenfelderhof.de/forschung-zuechtung/aktuelles.html	50.1941711	8.7504930	Germany	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
Survey	Doughies	Rye-volution - redeveloping a landrace cereal rye on crofts in the highland & island region of Scotland.	https://doughies.blog/	55.9412846	-3.2753780	Scotland	NE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	NOT	NOT	other
Demeter	Dreschflegel Saatgut	Dreschflegel Saatgut is a group of people who multiply and breed biological seed at fifteen gardeners' farms. Since 1990, Dreschflegel has devoted itself to the work on old vegetable varieties and various crops.	http://www.dreschflegel-saatgut.de/	51.3383147	9.8635970	Germany	CE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	other
Survey	EcoRegió 	Ecoregion is the Economic Community for organic food.	www.ecoregio.cat 	42.0630484	2.8032236	Spain	SE	OPB	NOT	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
Demeter	EuroPlant	EUROPLANT offers a large choice of seed potatoes from organic breeding. The production takes place in high qualified breeding stations, which belong to the well-known ecological associations of Germany. The production progress, storage and conditioning includes a running analyze of quality. Therefore, they follow the official mandated minimum condition, and develop further quality standards to improve their seed stock quality.	http://www.europlant.biz/en/home/	53.2604558	10.4365726	Germany	CE	OPB	NOT	NOT	NOT	NOT	NOT	forage	NOT	NOT	NOT
Survey	FABIA CSB	Conservation and Managing Plant Genetic Diversity for Food and Agriculture in Macedonia	https://academy.communityseedbanks.org/?file=workshop_summary_report_2019.pdf	41.1166364	21.1149489	North Macedonia	NA	NOT	NOT	NOT	NOT	other	NOT	NOT	NOT	NOT	other
Survey	Faculty of Agriculture and Food Technology Univesrity of Mostar	Collection and maintenance of old varieties in Herzegovina. We work on survay and evaluations on local varieties of fruits and vegetables. 	http://aptf.sum.ba/hr/	NA	NA	Bosnia and Herzegovina	NA	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
FiBL	FiBL Austria	Maintenance breeding and selection of traditional landrace Schlägler Rye	https://www.fibl.org/en/themes/projectdatabase/projectitem/project/1737.html	48.2081869	16.3559272	Austria	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
FiBL	FiBL Switzerland	The Research Institute of Organic Agriculture (FiBL) was founded in 1973 and is situated in Frick since 1997. Lupin Pre-Breeding and support of organic breeders. FiBL is particularly involved in the breeding projects of crop plants where the varieties do not meet the needs of the organic sector, where the supply of organically propagated seeds is too low or the number of varieties is too limited. We are increasingly seeking cooperation with organic farmers in order to jointly evaluate and develop varieties. We are involved in pre-breeding of white lupins, participatory soybean breeding, selection tools for pea, lupin, apple resistance breeding, and participatory cotton breeding in India	http://www.fibl.org/en/switzerland/location-ch.html	47.516939	8.0250830	Switzerland	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	fruit_grape	other
Demeter	"Georg-August-Universität  Göttingen  (Department  of  Plant  Breeding/
Research Unit “Genetic Resources and Ecological Plant Breeding”)"	"The Genetic Resources and Ecological Plant Breeding Unit was set up in June 2013 in the Faculty of Agricultural Sciences to promote the development of high-quality  plant  cultivars  for  ecological  cultivation  and  low-input conditions. The Software AG Foundation supports these concerns over a period of six years with 540,000 euros.
The task of the specialist group is the improvement and development of breeding methods which can be used in practice to deal with important problem areas such as limited nutrient availability, regional needs and field resistance to harmful fungi. Important species in research are vegetables (tomato, brassica, cichorium) and leguminous (lens, soy). They study genotype-environmental interactions and adaptation to specific sites. The research projects often involve the value chain. They are currently working on 8 projects."	http://www.uni-goettingen.de/de/die+fakult%C3%A4t/16366.html	51.5408149	9.9352118	Germany	CE	OPB	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
Demeter	Getreidezüchtung Darzau	"Under the umbrella of the 'Association for Goetheanistic Research' at 'Cereal
Breeding Research Darzau' criteria for breeding cereals are developed under bio-dynamic farming. In particular, the focus is on the special situation of organic farming (soil fertility, natural manure, weed competitiveness, seed transmitted diseases) and nutrition of human being as an organism with spiritual skills.
They work on projects for Winter Pea and Einkorn (Triticum monococcum L.). Especially for winter pea they have 5 breeding projects, 2 of which are conducted in cooperation with the University of Kassel."	https://www.cultivari.de/	53.199211	10.8685092	Germany	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Demeter	Getreidezüchtung Peter Kunz (gzpk)	"Under      the      name      Getreidezüchtung      Peter      Kunz,      Verein      für
Kulturpflanzenentwicklung is an association with the following purposes:
-  Research of new breeding methods (breeding research)
-  Breeding of adapted varieties for sustainable agriculture
-  Conservation, extension and sustainable use of crop diversity
-  Exploration of food and medicinal plant quality
-  Training, seminars
-  Public relations and publications
The association is based in Hombrechtikon (canton of Zurich), is registered in the commercial register, is recognized as a non-profit organization and is tax- exempt."	http://www.getreidezuechtung.ch/aktuell	47.2393161	8.7861177	Switzerland	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Survey	HAMK University of Applied Sciences	 Finnish User Gene Bank, which is a fully voluntary approach. There are 60 farmers in the network an we reproduce Finnish materials from the Nordic Gene Bank. 	https://www.hamk.fi/	60.9758213	24.4781475	Finland	NE	OPB	DOPB	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
LIVESEED	INRA	Decentralised plant breeding with farmers	http://institut.inra.fr/en	NA	NA	France	CE	OPB	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	other
added	INRA - BAGAP research unit: Biodiversity, Agroecology and Landscape Management	Decentralised plant breeding with farmers	https://www6.rennes.inrae.fr/bagap_eng/	48.1197507	-1.6479827	France	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
Demeter	Institut Technique de l’Agriculture Biologique- ITAB	"ITAB  coordinates  research  and  experimentation in  organic  agriculture in
France since 1982. It is the national interlocutor on all matters concerning research-experimentation and technology in organic agriculture. It works in network with the many actors involved in this field.
ITAB mission is to:
-     to    identify    needs    and    actions    carried     out    in    research- experimentation
-     to bring together research and experimentation players and to work with this network
-     to set up partnership projects
-     to promote the results of the research and to share the technical knowledge through guides and technical
ITAB is involved in organic plant breeding projects. Participatory breeding of wheat and maize"	http://itab.asso.fr , http://bit.ly/2pxmIEn	48.84097	2.3734546	France	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
LIVESEED	Institute of Agricultural Resources and Economics - AREI	AREI has a more than 100 years history in breeding of field crops. Breeding for organic farming was started with variety testing trials in 2003 and testing of breeding lines in 2005. Currently on the national variety list there are 49 crop varieties developed at AREI and 29 of them are recommended for organic production. More than 40 ha  agricultural land in two locations is certified for organic farming and used for research and seed production purposes. Most of the work is done for spring barley (separate organic breeding program) followed by potato, grain legumes, winter triticale, oat, spring and winter wheat.	https://www.arei.lv/lv	56.9716017	24.1723183	Latvia	NE	OPB	NOT	BfO	NOT	NOT	arable	NOT	NOT	NOT	NOT
LIVESEED	Institute of Soil Science and Plant Cultivation - State Research Institute (IUNG-PIB)	IUNG-PIB (Institute of Soil Science and Plant Cultivation - State Research Institute) within its 55 years’ activity has greatly contributed to agricultural and agro-environmental science progress in Poland. IUNG-PIB together with the Main Inspectorate of Plant Health and Seed Inspection (PIORiN)  initiated in 2018 a national program of cereal variety field testing. This program includes testing about 20 varieties for 3 years and will develop a testing methodology to be consistent with accepted standards. 	http://www.iung.pulawy.pl/eng/	NA	NA	Poland	EE	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
ECO-PB	Instituto Politécnico de Coimbra - ESAC	NA	http://portal.esac.pt/portal/	40.2118485	-8.4551208	Portugal	SE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Bioverita	Kartoffel Vielfalt	Selection and maintenance breeding of potatos	https://www.kartoffelvielfalt.de/	52.9632675	10.1780062	Germany	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Demeter	Keyserlingk-Insitute	"The Johanna and Carl Graf Keyserlingk Institute was founded in 1988 by Dr.
Bertold Heyden and Elisabeth Beringer in collaboration with biologically dynamic farmers and it is located in Salem. The Keyserlingk Institute deals with questions of seed research as well as with the breeding of new regional grain cultivars for organic (biodynamic) farming.
They mainly focus on the development of locally adapted winter wheat and
rye varieties for the Lake Constance region and sites with similar conditions. They also do breeding of lentils and of the wild cereal Dasypyrum villosum."	https://www.saatgut-forschung.de/	47.7546334	9.3560552	Germany	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Demeter	Kultursaat e.V.	"In 1985 a number of biodynamic vegetable producers, who were involved in
multiplication and breeding of open pollinated varieties, set up the “Initiativkreis für Gemüsesaatgut aus biologisch-dynamischen Anbau” (Initiative group for vegetable seeds from biodynamic farming). To promote their breeding work, raise funds and co-ordinate their breeding activities, members of the “Initiativkreis” established the (non- profit) association Kultursaat in 1994.
They focus their work on the:
+    Preservation of proven op vegetable varieties (from conventional breeding companies)
+     Development of new vegetable varieties (from biodynamic breeding programms)
+     Publication of the developed varieties (""bio"" of the various varieties; pr for biodynamich plant breeding,
+     Plant Breeding Research (plasticity of crops effected by special biodynamic measures like bd preparations, quality of breeding lines asserted by sensory assessment and socalled holistic methods like copper chloride christallisation). "	https://www.kultursaat.org/en/breeding/locations/	50.3744004	8.8936242	Germany	CE	OPB	DOPB	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	other
Survey	Leen organics 	Grower and seed saver, currently breeding a tomato from a cross that was done at Irish Seed Savers	http://www.leenorganics.com/organic-consultancy/	52.8987582	-8.8638637	Ireland	NE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
LIVESEEED 	Living Seeds Sementes Vivas SA	Company is founded 2015 and develops and sells seed of open pollinated varieties of a wide range of vegetables, herbs, flowers, millet, spelt, quinoa, amaranth in Portugal and Spain through its daughter company Semillas Vivas SL. 	https://www.sementesvivas.bio/en/	39.8909695	-7.2929857	Portugal	SE	OPB	NOT	NOT	NOT	NOT	NOT	forage	vegetable	NOT	NOT
Survey	Living Seeds Sementes Vivas SA	Organic seed company, with production and selection of organic seed for mediterranean climate, maintenance breeding and various breeding projects (carrot, maize and cowpea, traditional portuguese and spanish varieties)	www.sementesvivas.bio	NA	NA	Portugal	SE	OPB	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
Demeter	Louis Bolk Instituut	"The  Louis  Bolk  Institute  is  a  private  organisation  which  offers  research, advice and development in the field of organic and sustainable agriculture, nutrition and health care. It operates as a not-for-profit foundation, and derives   all   its   income   from   contract   research,   project   subsidies   and donations. The Institute links social issues with pioneering research, and bridges the gap between scientific objectivity and personal involvement. Research at the Institute follows a participatory approach that is both practical and holistic.
Louis Bolk Institute works on projects related to organic plant breeding:
-  Divers  en  Dichtbij  ('Diverse  and  locally  produced')  (2013-2015) http://bit.ly/2nwg0OU
-  Farm Seed Opportunities (FSO) (2006-2009)  http://bit.ly/2nSPA58
-  Bio        Impuls:        Organic        Potato        Breeding        (2009-2013) http://bit.ly/2pjC2kn"	http://www.louisbolk.org/	52.0619874	5.2066735	Netherlands	CE	OPB	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
Survey	Luomuliitto ry  - Finnish Organic Farmers Association	Interested in starting a development project to support farmers to breed landrace, heirloom and traditional cereals on the farms that could also be developed to become organic variaties that suit for farming in the Nordic countries.	http://www.luomuliitto.fi/	60.7368296	24.7683232	Finland	NE	OPB	NOT	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
Survey	Mancomunidad de municipios del Rincón de Ademuz	A set of experimental crop plots adapted to the Rincón de Ademuz have been launched to test agroecological techniques against climate change	http://rinconimpulsa.rincondeademuz.es/	40.0400618	-1.2654218	Spain	SE	NOT	NOT	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
NA	Mart Vandewall	NA	Not available	NA	NA	Netherlands	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	NOT	fruit_grape	NOT
Survey	Melholt Korn	Novice plant breeder 	http://www.melholt-korn.dk/login/	NA	NA	Denmark	NE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Veronique Chable	Michael Seed	NA	http://michelseed.com/index.html	48.5592871	3.2945316	France	CE	OPB	NOT	NOT	NOT	NOT	NOT	forage	NOT	NOT	NOT
NA	NARDI Fundulea - National Agricultural Research and Development Institute	National Agricultural Research and Development Institute from Fundulea it is recognised in Romania as the most important agricultural research unit especially for large field crops. Starting with 1995 inside the institute was established a Research, Innovation and Technical Assistance Centre for Organic Agriculture.  The founder of the Organic Research Centre had the initiative since the beginning to find the adapted varieties for organic farming, therefore it has made a pre-breeding work of observing different varieties of cereals (wheat, barley, maize, millet), legumes (pea, lentils, lupine, soybean) , technical crops (sunflower, camelina, flax), medicinal plants in comparative fields. 	http://www.incda-fundulea.ro/	44.4503368	26.5154422	Romania	EE	OPB	NOT	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
Eucarpia symposium	Netwerk Zelf Zaden telen	An informal network of farmers conducting selection and maintenance of open pollinated varietes on their own farms, with a focus on vegetables	http://www.zelfzadentelen.be/	51.1473733	4.3947737	Belgium	CE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
Survey	NGO Maadjas	We are a seed saver organisation that reproduce heritage varieties that we find in people's gardens. We make garden inventories and documentation for what we find. 	http://www.maadjas.ee/	59.4717925	24.5981607	Estonia	NE	NOT	NOT	NOT	NOT	other	NOT	NOT	NOT	NOT	other
NA	Novafruits	A new organic grower association in  Northern France and Belgium works on participative apple breeding 	http://www.cra.wallonie.be/fr/novafruits-en-pommes-et-poires-des-varietes-creees-en-bio-et-bas-intrants	50.553531	4.5760574	Belgium	CE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	NOT	fruit_grape	NOT
Demeter	Organic Research Centre (ORC)	"The Organic Research Centre (ORC) is the UK’s leading independent research centre for the development of organic/agroecological food production and land management solutions to key global issues including climate change, soil and  biodiversity  conservation, and  food  security.  Established  in  1980  by David Astor, the Progressive Farming Trust Ltd., ORC’s parent educational charity, has continued to pursue the visionary sustainability goals of its founders.
They are involved in 10 plant breeding projects including composite cross populations of wheat"	http://organicresearchcentre.com/	51.7108094	-1.9865577	United Kingdom	NE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
FiBL	Poma Culta	Non-profit association for the promotion of research in the field of biodynamic fruit growing Poma Culta was founded in 2004 with the aim of supporting the apple cultivation of Niklaus Bolliger.	https://pomaculta.org/	47.1400587	7.4667997	Switzerland	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	NOT	fruit_grape	NOT
FiBL	Realisation Schmid	Founded in 2016, Realisation Schmid plans and implements projects of all kinds in the fields of nature, agriculture, food and horticulture. The peach breeding project aims to cultivate robust and tasty varieties for the speciality market using the classical method (according to organic guidelines).	https://www.realisation-schmid.ch/	46.7159081	9.4647854	Switzerland	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	NOT	fruit_grape	NOT
Survey	Red Andaluza de Semillas	Mass selection and participatory trials on local cultivated biodiversity in agroecological systems	https://www.redandaluzadesemillas.org/	37.4251707	-5.9921683	Spain	SE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	other
Demeter Organic plant breeding 	Red de Semillas Resembrando e Intercambiando	NA	http://www.redsemillas.info/	37.4262866	-5.9930970	Spain	SE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	NOT	NOT	other
Survey	Red de Semillas Resembrando e Intercambiando	"
The RdS is an organization that brings together more than 20 local seed networks in Spain. These organizations carry out a work of dynamic and community management of cultivated biodiversity in which they deal with majar selection works for themaintenance of local, traditional and exchange cultivars and populations (all of open pollination and in the public domain). All groups work in agroecological production systems"	www.redsemillas.info	NA	NA	Spain	SE	OPB	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
Demeter 	Rein Saat	"ReinSaat was established in 1998 and since then has been providing an extensive offer of varieties for commercial horticulture and domestic gardens which are adapted to the needs of organic farming methods. They combine quality which is reflected in appearance, taste and aroma with reliable yields.
They  focus  on  the  development  of  regionally  adapted  open  pollinated varieties which enable to improve the plants health and to coordinate the harvesting time more easily for the growers.
They have over 30 propagation facilities which are located in varying climatic zones in Austria and the neighboring countries."	https://www.reinsaat.at/	48.6072147	15.5364996	Austria	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	other
Survey	Rémi Colombet	Farmer, working on organic seeds multiplication	https://www.auvergnerhonealpes.bio/component/gmapfp/231:colombet-remi?view=gmapfp	44.8992684	4.9940717	France	CE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	NOT	NOT	other
ECO-PB	Réseau Semences Paysannes	A movement of collectives anchored in the local territories that renew, diffuse and protect farmer seed, as well as the practices and knowledge related to it	http://www.semencespaysannes.org/	44.2984409	0.3333995	France	CE	OPB	DOPB	NOT	NOT	NOT	arable	NOT	NOT	NOT	other
ECO-PB	Rete Semi Rurali	Rete Semi Rurali - the Italian Farmers’ Seeds Network - was established in 2007. The commitment of RSR consists in supporting farmers, politically and scientifically, in the creation and dissemination of self- and truly sustainable organic farming processes.	https://www.semirurali.net/	43.7480192	11.1788509	Italy	SE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
